#,Module,Feature Name,Description / How It Works,Why GLI Needs It
1.1,Regulatory Change Monitoring,Smart Regulatory Source Library,Pre-configured monitoring of 475+ gaming jurisdiction sources. Team can add/remove sources. Organised by region > country > jurisdiction > regulatory body.,Replaces manual checking of hundreds of regulatory websites daily
1.2,Regulatory Change Monitoring,Automated Change Detection,"Crawls all configured sources at defined intervals. Detects additions, amendments, repeals. Redlined diff view showing exactly what changed between versions.",Instant visibility into changes without reading full documents
1.3,Regulatory Change Monitoring,AI-Powered Alert Scoring & Tagging,"Each change auto-scored for relevance to GLI's certification scope. Auto-tagged by jurisdiction, game type, regulatory topic. Alerts routed to right team.",Ensures only relevant alerts reach the right desk
1.4,Regulatory Change Monitoring,Version History & Audit Trail,Every version of every monitored document stored with timestamps. Full history accessible for any jurisdiction. Exportable as evidence for certification audits.,Critical for maintaining credibility as a certification body
1.5,Regulatory Change Monitoring,Horizon Scanning,"Tracks proposed bills, draft regulations, consultation papers before they become law. Sends early-warning alerts so testing teams can prepare in advance.",Proactive preparation before a new regulation takes effect
2.1,AI Research & Intelligence,Plain Language Regulatory Summaries,"AI auto-summarises any regulatory document in plain English. Highlights what changed, what it means, and what action is required. Available in multiple languages.",Faster interpretation across multilingual global teams
2.2,AI Research & Intelligence,GLI RegGPT — Conversational AI Assistant,Chat interface trained on GLI's entire monitored regulatory library. Staff ask plain-language questions and get answers with citations. Scoped to curated document set only.,Replaces hours of manual research with instant accurate answers
2.3,AI Research & Intelligence,Cross-Jurisdictional Comparison,"Side-by-side comparison of regulations across multiple jurisdictions on one screen. Example: Compare responsible gaming requirements across UK, Malta, and New Jersey. Exportable as tables.",Accelerates advisory work across multiple markets
2.4,AI Research & Intelligence,Regulatory Gap Analysis,Compares a gaming product's current certification against new/updated regulations. Flags gaps where recertification may be needed. Generates gap report with recommended actions.,Directly supports GLI's core certification business
2.5,AI Research & Intelligence,Enforcement Actions Tracker,"Monitors regulatory enforcement actions, fines, and sanctions issued globally. Provides trend analysis showing which jurisdictions are increasing enforcement activity.",Helps GLI advise clients on high-risk markets